Accession	Length	MW
CONT_145|gi|109122|pir||S07158	147	17314.0
CONT_146|gi|2119208|pir||I37459	362	41704.9
CONT_147|gi|2119226|pir||I38025	257	27397.9
CONT_148|gi|999195|bbs|166254	20	1953.2
CONT_149|gi|1362686|pir||S55691	105	11897.3
CONT_150|gi|2136334|pir||I58129	17	1994.2
CONT_151|gi|1000379|bbs|168429	17	1983.2
CONT_152|gi|2135530|pir||S60034	416	47349.7
CONT_153|gi|1181994	405	45829.3
CONT_154|gi|1181996	425	47034.8
CONT_155|gi|1184522|bbs|170925	16	1939.2
CONT_156|gi|1363944|pir||JC4313	473	51238.2
CONT_157|gi|1245902|bbs|175065	35	4131.6
CONT_158|gi|1332731|bbs|176590	16	1834.0
CONT_159|gi|1335191|gnl|PID|e4550	73	8612.5
CONT_160|gi|1335192|gnl|PID|e4551	20	2399.6
CONT_161|gi|1335193|gnl|PID|e4552	32	3676.1
CONT_162|gi|1335194|gnl|PID|e4553	55	6101.6
CONT_163|gi|1335195|gnl|PID|e28367	233	23635.8
CONT_164|gi|1419564|gnl|PID|e251594	279	30779.1
CONT_165|gi|2497269|sp|Q99456|K1CL_HUMAN	494	53511.8
CONT_166|gi|1668742|gnl|PID|e199789	122	13398.1
CONT_167|gi|1668744|gnl|PID|e195475	425	47571.1
CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN	473	50806.3
CONT_169|gi|1816454|gnl|PID|d1009962	23	2546.7
CONT_170|gi|1869772|gnl|PID|e304605	33	3593.2
CONT_171|gi|1890020|gnl|PID|d1020171	226	25929.4
CONT_172|gi|1903216|gnl|PID|e255375	493	54214.9
CONT_173|gi|1903218|gnl|PID|e255345	507	55802.6
CONT_174|gi|1903220|gnl|PID|e255346	483	53193.7
CONT_175|gi|1911759|bbs|180267	20	1473.4
CONT_176|gi|2119206|pir||S34165	346	36627.4
CONT_177|gi|2134977|pir||S60152	50	5720.3
CONT_178|gi|2190400|gnl|PID|e321549	505	54971.8
CONT_179|gi|2506774|sp|P05787|K2C8_HUMAN	483	53674.6
